system:index,LST,NDBI,NDVI,NDWI,.geo
0,33.87873668000003,-0.034447380693300174,0.19650466583958143,-0.2185457142333962,"{""type"":""Point"",""coordinates"":[72.94246773516934,33.70731200189432]}"
1,28.70385440000001,-0.03061981737811764,0.2077740386433244,-0.21706991807963422,"{""type"":""Point"",""coordinates"":[73.10675088012604,33.73401150099935]}"
2,33.400213880000024,0.03259164584906757,0.10479349809255266,-0.14391701586865427,"{""type"":""Point"",""coordinates"":[72.94716621105253,33.6149023972957]}"
3,31.41092623999998,-0.05220180810731992,0.22458676984692666,-0.23612443469919145,"{""type"":""Point"",""coordinates"":[73.01366438592089,33.64513483607218]}"
4,34.26839096000003,0.03206997084548105,0.0871216079701815,-0.11944902790731042,"{""type"":""Point"",""coordinates"":[73.08298303342917,33.53406125941797]}"
5,33.61896716000001,0.016860308024858148,0.11159991445941404,-0.152659422814965,"{""type"":""Point"",""coordinates"":[72.84153554353756,33.602206949502644]}"
6,28.584223700000052,-0.02735166425470333,0.04479003139717425,-0.040807350210145636,"{""type"":""Point"",""coordinates"":[73.14232749880843,33.70028384106473]}"
7,28.086901790000013,-0.10741506265340395,0.2684496726223505,-0.26473029045643154,"{""type"":""Point"",""coordinates"":[73.10361571180766,33.74967780833999]}"
8,32.614069280000024,0.01673228346456693,0.16005419005225469,-0.20387817703768624,"{""type"":""Point"",""coordinates"":[73.12714523281359,33.62404013790212]}"
9,28.744870640000045,-0.020526839751592054,0.17047266927649704,-0.1823224648957399,"{""type"":""Point"",""coordinates"":[73.11163932519143,33.729790742680166]}"
10,25.272162320000007,-0.04105243515581265,0.2229285401139851,-0.2212331265961328,"{""type"":""Point"",""coordinates"":[73.09882278939277,33.78810048869617]}"
11,31.033235030000014,-0.044495577336839585,0.22693765796124685,-0.2313681280935689,"{""type"":""Point"",""coordinates"":[73.0864607161551,33.72426292313486]}"
12,31.70145794000001,-0.01054146204135256,0.1499252509432619,-0.16472581750009013,"{""type"":""Point"",""coordinates"":[73.01541241979261,33.61024570663763]}"
13,36.578972480000004,-0.0013735862290674226,0.13860366198119164,-0.18306746771631793,"{""type"":""Point"",""coordinates"":[72.84110853959017,33.524998936199815]}"
14,32.294484409999995,-0.015256628843553412,0.1537716309213603,-0.18685888073678242,"{""type"":""Point"",""coordinates"":[72.99608568366651,33.6255655470411]}"
15,29.72242435999999,-0.08357591274155649,0.2330779054916986,-0.2252052187016695,"{""type"":""Point"",""coordinates"":[73.09157087407051,33.51137510383548]}"
16,29.373786320000022,-0.0030895380335310054,0.2061552546789443,-0.23128077932348395,"{""type"":""Point"",""coordinates"":[72.9360230253156,33.73508949392799]}"
17,25.55414897000003,-0.10434085034316784,0.26357442989434177,-0.25443978697122493,"{""type"":""Point"",""coordinates"":[73.16450943831643,33.79820307148095]}"
18,30.125750720000042,-0.07376896872096625,0.23572599615083042,-0.2433479165172488,"{""type"":""Point"",""coordinates"":[73.16811610440634,33.59503541520469]}"
19,32.68926571999998,-0.021736359000509943,0.16667879758352136,-0.18654230512991338,"{""type"":""Point"",""coordinates"":[72.92446187021343,33.59853891750887]}"
20,34.67855336000002,0.03370065261581256,0.10297664478705541,-0.15160015300267754,"{""type"":""Point"",""coordinates"":[72.86879076989281,33.5520394585765]}"
21,31.60575338000001,0.00558075780816553,0.12207696556803535,-0.13876742534663827,"{""type"":""Point"",""coordinates"":[73.22353079975838,33.57690043694966]}"
22,33.020813660000044,-0.028115159694107064,0.20636416762493637,-0.21439957492029754,"{""type"":""Point"",""coordinates"":[72.80764456612802,33.544753076694505]}"
23,31.655314670000053,0.012524719841793012,0.0945746217845459,-0.1227090004769367,"{""type"":""Point"",""coordinates"":[73.16155408757722,33.58838981314321]}"
24,25.803664430000026,-0.1079334998707899,0.2788847790637553,-0.2678166584524396,"{""type"":""Point"",""coordinates"":[73.27961707553472,33.776705219871396]}"
25,30.494896880000056,-0.07112676056338028,0.2209735094504853,-0.21826191429715658,"{""type"":""Point"",""coordinates"":[73.0620743177351,33.66906385351265]}"
26,26.270224159999998,-0.15183347296513502,0.33340793792897644,-0.3098090945733026,"{""type"":""Point"",""coordinates"":[73.04352303962483,33.73048959098175]}"
27,32.43975025999998,-0.03318938926588526,0.1550572425072415,-0.15742916378714583,"{""type"":""Point"",""coordinates"":[73.0787778080562,33.61704400088142]}"
28,29.03540234000002,-0.11965878732013686,0.2905351869192538,-0.2779243937232525,"{""type"":""Point"",""coordinates"":[73.11853238945848,33.624158791130554]}"
29,33.27374714000001,-0.039732707242188914,0.1917198550974642,-0.20761445277675808,"{""type"":""Point"",""coordinates"":[73.17270566540981,33.58248020202785]}"
30,34.88363456000002,-0.026625874655438767,0.1726524115978133,-0.19908013444188927,"{""type"":""Point"",""coordinates"":[72.94581641619925,33.56521373036793]}"
31,30.76321145000003,-0.1018509607673307,0.25955262192885953,-0.25033671872156094,"{""type"":""Point"",""coordinates"":[73.04195587655425,33.72012739822314]}"
32,32.81573246000005,-0.01363368626718577,0.16160684886401053,-0.1920256800135158,"{""type"":""Point"",""coordinates"":[72.95555930598204,33.664775780899085]}"
33,33.39850487000001,0.0036702646617007106,0.09861511927733474,-0.12536514544595848,"{""type"":""Point"",""coordinates"":[73.15239581065292,33.62775493627059]}"
34,32.88921989000005,8.482030660970093E-4,0.11258810977209521,-0.13782309274662374,"{""type"":""Point"",""coordinates"":[73.07642423985769,33.67042485647824]}"
35,37.30701074000001,-0.02752266441871127,0.14468828258863847,-0.1647220545832495,"{""type"":""Point"",""coordinates"":[73.16033885509556,33.53456153464563]}"
36,32.91827306000005,-0.01590858874404217,0.14084681778707264,-0.16762502494150083,"{""type"":""Point"",""coordinates"":[73.14092151864759,33.551306416971116]}"
37,27.67503038000001,-0.15909240381453468,0.34216739014545733,-0.318569504713452,"{""type"":""Point"",""coordinates"":[72.9206569827449,33.75128721513588]}"
38,31.793744479999987,-0.042656340518949905,0.21828351562221668,-0.2285252380097,"{""type"":""Point"",""coordinates"":[73.249525704129,33.59535551545722]}"
